Timestamp,ReportingGroup,LocationName,Value,Unit
07/31/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,45,kWh
08/01/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,46,kWh
08/02/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,48,kWh
08/03/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,53,kWh
08/04/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,22,kWh
08/05/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,46,kWh
08/06/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,46,kWh
08/07/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,38,kWh
08/08/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,42,kWh
08/09/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,44,kWh
08/10/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,55,kWh
08/11/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,15,kWh
08/12/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,43,kWh
08/13/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,42,kWh
08/14/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,41,kWh
08/15/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,42,kWh
08/16/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,46,kWh
08/17/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,55,kWh
08/18/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,28,kWh
08/19/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,32,kWh
08/20/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,41,kWh
08/21/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,44,kWh
08/22/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,48,kWh
08/23/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,36,kWh
08/24/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,58,kWh
08/25/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,27,kWh
08/26/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,41,kWh
08/27/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,49,kWh
08/28/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,49,kWh
08/29/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,49,kWh
08/30/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,46,kWh
08/31/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,54,kWh
09/01/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,14,kWh
09/02/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,42,kWh
09/03/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,39,kWh
09/04/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,38,kWh
09/05/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,37,kWh
09/06/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,37,kWh
09/07/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,47,kWh
09/08/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,1,kWh
09/09/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,31,kWh
09/10/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,43,kWh
09/11/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,37,kWh
09/12/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,35,kWh
09/13/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,39,kWh
09/14/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,50,kWh
09/15/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,1,kWh
09/16/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,39,kWh
09/17/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,35,kWh
09/18/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,40,kWh
09/19/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,53,kWh
09/20/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,54,kWh
09/21/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,52,kWh
09/22/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,1,kWh
09/23/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,47,kWh
09/24/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,55,kWh
09/25/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,60,kWh
09/26/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,58,kWh
09/27/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,60,kWh
09/28/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,61,kWh
09/29/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,1,kWh
09/30/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,39,kWh
10/01/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,42,kWh
10/02/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,49,kWh
10/03/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,40,kWh
10/04/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,65,kWh
10/05/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,88,kWh
10/06/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,63,kWh
10/07/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,29,kWh
10/08/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,40,kWh
10/09/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,42,kWh
10/10/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,41,kWh
10/11/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,44,kWh
10/12/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,54,kWh
10/13/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,1,kWh
10/14/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,25,kWh
10/15/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,40,kWh
10/16/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,39,kWh
10/17/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,36,kWh
10/18/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,40,kWh
10/19/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,45,kWh
10/20/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,1,kWh
10/21/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,26,kWh
10/22/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,36,kWh
10/23/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,46,kWh
10/24/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,42,kWh
10/25/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,41,kWh
10/26/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,54,kWh
10/27/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,1,kWh
10/28/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,45,kWh
10/29/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,59,kWh
10/30/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,64,kWh
10/31/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,63,kWh
11/01/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,45,kWh
11/02/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,2,kWh
11/03/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,50,kWh
11/04/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,45,kWh
11/05/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,53,kWh
11/06/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,66,kWh
11/07/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,57,kWh
11/08/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,58,kWh
11/09/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,38,kWh
11/10/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,1,kWh
11/11/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,47,kWh
11/12/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,53,kWh
11/13/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,29,kWh
11/14/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,25,kWh
11/15/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,62,kWh
11/16/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,70,kWh
